BatchA:

Corrupted Frame Report - Tue 17 Jun 14:01:09 CEST 2025
---------------------------------
994_A_s7_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
994_A_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
994_A_s9_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2280.84s


Batch B:

Corrupted Frame Report - Wed 18 Jun 08:24:17 CEST 2025
---------------------------------
1002_B_s10_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.76s
1002_B_s1_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
1002_B_s2_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
1002_B_s3_rp_12.4kHz.mpg: 0 corrupted frames, duration: 2295.76s
1002_B_s4_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1002_B_s5_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.88s
1002_B_s6_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1002_B_s7_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
1002_B_s8_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.68s
1002_B_s9_rp_12.4kHz.mpg: 0 corrupted frames, duration: 2280.76s
1012_B_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1012_B_s1_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
1012_B_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
1012_B_s3_rm_7.4kHz.mpg: 1 corrupted frames, duration: 2295.84s
1012_B_s4_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1012_B_s5_rm_7.4kHz.mpg: 1 corrupted frames, duration: 1620.88s
1012_B_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1012_B_s7_rm_7.4kHz.mpg: 1 corrupted frames, duration: 1620.76s
1012_B_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.76s
1012_B_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.80s
1022_B_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1022_B_s1_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.80s
1022_B_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
1022_B_s3_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2295.76s
1022_B_s4_rm_7.4kHz.mpg: 2 corrupted frames, duration: 1620.84s
1022_B_s5_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1022_B_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1022_B_s7_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
1022_B_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.76s
1022_B_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.72s
1031_B_s10_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1031_B_s1_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
1031_B_s2_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
1031_B_s3_rp_7.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
1031_B_s4_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1031_B_s5_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1031_B_s6_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1031_B_s7_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1031_B_s8_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.68s
1031_B_s9_rp_7.4kHz.mpg: 2 corrupted frames, duration: 2280.76s
1037_B_s10_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.68s
1037_B_s1_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
1037_B_s2_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
1037_B_s3_rp_12.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
1037_B_s4_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
1037_B_s5_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1037_B_s6_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
